Team,OS,PC,PA,YPG,TO,PYD,RYD,GT,HG,GM,W
lar,0.5882352941,17,25,300,1,175,125,0,1,17,10
was,0.2352941176,22,28,408,2,224,184,0,0,17,4
bal,0.7647058824,18,32,429,0,308,121,0,1,17,13
ari,0.7647058824,16,25,406,2,262,144,0,0,17,13
sea,0.5294117647,19,27,527,0,354,173,0,1,17,9
phi,0.6470588235,19,27,456,2,310,146,0,0,17,11
sea,0.5294117647,21,30,377,2,206,169,0,0,17,9
tb,0.5294117647,21,25,420,4,305,115,0,1,17,9
jax,0.5294117647,19,26,437,1,293,144,0,0,17,9
cin,0.5294117647,22,31,460,1,347,113,0,1,17,9
min,0.4117647059,21,30,325,2,260,65,0,0,17,7
cle,0.6470588235,12,27,214,2,107,108,0,0,17,11
dal,0.7058823529,17,24,321,4,251,170,0,1,17,12
ari,0.4705882353,20,21,395,0,271,124,0,1,17,8
nyg,0.3529411765,25,37,441,1,300,141,0,1,17,6
lar,0.5882352941,17,25,365,2,206,159,0,0,17,10
pit,0.5882352941,19,29,391,2,203,188,0,0,17,10
gre,0.5294117647,23,39,356,0,245,111,1,0,17,9
det,0.7058823529,20,31,413,1,258,155,1,0,17,12
kan,0.6470588235,23,38,382,2,272,110,1,0,17,11
