,,,,wins,opp,,,,,,,,,,,,,,
"Sun
12/4",SF,@,LA,w,7,16,68.8,164,10.3,1,6.3,0,0,,,,122.9,188,1
"Sun
11/27",SF,@,BAL,w,22,23,52.2,207,9,1,4.3,0,0,,,,97.6,211,1
"Sun
11/20",SF,@,DLC,w,14,29,44.8,128,4.4,0,0,2,6.9,,,,29.1,193,0
"Sun
11/6",SF,vs,DET,l,24,31,61.3,151,4.9,0,0,3,9.7,,,,33.9,161,0
"Sun
10/30",SF,vs,CHI,w,7,12,66.7,89,7.4,1,8.3,0,0,,,,116.3,90,1
"Sun
10/23",SF,@,GB,l,41,13,0,0,0,0,0,1,7.7,,,,7.5,0,0
"Sun
10/16",SF,@,CHI,l,27,26,53.8,107,4.1,0,0,0,0,,,,64.1,112,0
"Sun
10/9",SF,@,DET,w,10,13,61.5,105,8.1,2,15.4,0,0,,,,126.6,134,2
"Sun
10/2",SF,vs,LA,w,9,1,100,20,20,0,0,0,0,,,,118.8,20,0
"Sat
12/16",SF,vs,BAL,l,27,38,42.1,292,7.7,2,5.3,1,2.6,,,,75.8,301,3
"Sun
12/10",SF,vs,GB,w,21,29,65.5,328,11.3,2,6.9,0,0,,,,126.8,338,2
"Sun
12/3",SF,@,BAL,l,20,27,48.1,176,6.5,1,3.7,2,7.4,,,,50.8,217,1
"Sun
11/26",SF,vs,MIN,w,28,24,58.3,246,10.3,1,4.2,0,0,,,,107.3,262,2
"Sun
11/19",SF,vs,CHI,w,31,19,57.9,322,16.9,3,15.8,0,0,,,,142,320,3
"Sun
11/12",SF,@,LA,l,17,9,44.4,47,5.2,0,0,0,0,,,,60.9,49,0
"Sun
10/29",SF,@,PIT,l,20,21,42.9,163,7.8,1,4.8,0,0,,,,86,149,1
"Sun
10/22",SF,@,CHI,l,31,10,30,23,2.3,0,0,2,20,,,,0,22,0
"Sun
10/15",SF,@,MIN,w,24,14,78.6,209,14.9,0,0,2,14.3,,,,79.2,210,0
"Sun
10/8",SF,vs,LA,w,0,17,70.6,151,8.9,0,0,0,0,,,,97.9,168,0
"Sun
10/1",SF,@,DET,w,0,12,41.7,108,9,0,0,1,8.3,,,,39.6,110,0
"Sun
9/24",SF,@,GB,l,30,20,45,93,4.7,0,0,1,5,,,,38.1,93,0
"Sun
9/17",SF,vs,WAS,w,3,22,72.7,237,10.8,4,18.2,1,4.5,,,,128.2,240,4
"Sat
12/15",SF,vs,CLE,l,13,20,65,152,7.6,0,0,1,5,,,,67.1,183,1
"Sun
12/9",SF,vs,GB,l,31,31,64.5,269,8.7,2,6.5,2,6.5,,,,86.6,279,2
"Sun
12/2",SF,@,MIN,w,12,21,57.1,272,13,4,19,0,0,,,,141.4,283,4
"Sun
11/25",SF,@,STL,w,17,18,50,128,7.1,0,0,0,0,,,,73.4,143,2
"Sun
11/18",SF,@,LA,w,17,21,81,281,13.4,2,9.5,1,4.8,,,,130.7,305,2
"Sun
11/11",SF,vs,DET,l,38,30,60,198,6.6,2,6.7,1,3.3,,,,87.9,207,2
"Sun
11/4",SF,vs,BAL,l,22,11,45.5,45,4.1,0,0,0,0,,,,57,45,0
"Sun
10/28",SF,vs,LA,l,28,35,54.3,170,4.9,2,5.7,2,5.7,,,,62.8,236,2
"Sun
10/21",SF,@,GB,l,31,15,40,41,2.7,0,0,3,20,,,,8.3,57,0
"Sun
10/14",SF,@,CHI,w,27,16,37.5,121,7.6,1,6.3,1,6.3,,,,59.6,121,1
"Sun
10/7",SF,@,BAL,w,13,19,78.9,143,7.5,1,5.3,0,0,,,,115.6,154,1
"Sun
9/30",SF,vs,MIN,w,7,19,26.3,57,3,1,5.3,2,10.5,,,,17.5,74,1
"Sun
9/23",SF,@,DET,l,45,26,69.2,259,10,2,7.7,1,3.8,,,,110.9,266,2
"Sun
9/16",SF,vs,CHI,l,30,22,54.5,136,6.2,1,4.5,2,9.1,,,,50.6,177,2
"Sun
9/29",SF,@,MIN,l,45,18,38.9,104,5.8,0,0,2,11.1,,,,19,115,0
"Sun
9/22",SF,vs,BAL,l,20,20,60,138,6.9,2,10,1,5,,,,93.3,148,2
"Sun
9/15",SF,vs,MIN,l,24,23,47.8,125,5.4,1,4.3,1,4.3,,,,61,167,1
"Sun
12/13",SF,@,DET,l,24,43,53.5,228,5.3,1,2.3,0,0,,,,76.5,232,1
"Sun
12/6",SF,vs,LA,w,7,30,60,204,6.8,2,6.7,0,0,,,,102.6,223,2
"Sun
11/29",SF,vs,BAL,l,14,34,41.2,135,4,0,0,5,14.7,,,,13.4,167,0
"Sun
11/22",SF,@,CHI,l,23,27,70.4,207,7.7,2,7.4,0,0,,,,117.4,199,2
"Sun
11/8",SF,@,MIN,l,24,26,30.8,102,3.9,0,0,1,3.8,,,,28,102,0
"Sun
11/1",SF,@,BAL,l,37,28,57.1,159,5.7,1,3.6,1,3.6,,,,70.4,193,1
"Sun
10/25",SF,vs,MIN,l,27,27,44.4,209,7.7,1,3.7,4,14.8,,,,44.1,211,2
