,,,,wins,,,,,,,,,,,,,Rating,,
"Sun
12/12",SF,vs,ATL,W,9,18,50,126,7,1,5.6,1,5.6,,,,68.3,143,2
"Mon
12/6",SF,vs,KC,L,20,32,62.5,229,7.2,1,3.1,1,3.1,,,,81.4,229,1
"Sun
11/28",SF,@,NYJ,W,5,12,41.7,88,7.3,1,8.3,0,0,,,,95.1,89,2
"Sun
11/21",SF,@,LA,L,23,42,54.8,297,7.1,0,0,4,9.5,,,,37.6,300,0
"Sun
11/14",SF,vs,NO,L,20,28,71.4,203,7.3,2,7.1,2,7.1,,,,85.9,209,2
"Sun
11/7",SF,@,MIN,W,13,30,43.3,110,3.7,1,3.3,2,6.7,,,,36.8,111,1
"Sun
10/31",SF,vs,NE,W,10,20,50,200,10,1,5,3,15,,,,62.5,200,1
"Sun
10/24",SF,@,STL,W,16,32,50,226,7.1,1,3.1,0,0,,,,83.6,230,1
"Sun
10/17",SF,vs,CHI,W,20,35,57.1,213,6.1,1,2.9,2,5.7,,,,60.8,213,1
"Sun
10/10",SF,vs,LA,L,17,34,50,152,4.5,1,2.9,2,5.9,,,,47.7,152,1
"Sun
10/3",SF,@,PHI,W,14,28,50,262,9.4,3,10.7,0,0,,,,118.5,262,3
"Sun
9/26",SF,@,NO,W,10,22,45.5,125,5.7,1,4.5,2,9.1,,,,40.9,125,1
"Sun
9/19",SF,@,ATL,L,17,34,50,225,6.6,1,2.9,4,11.8,,,,41.5,228,1
"Sun
1/3",SF,vs,DAL,L,19,40,47.5,262,6.6,1,2.5,2,5,42,2,16,56.5,262,1
"Sun
12/27",SF,@,MIN,W,16,32,50,201,6.3,1,3.1,0,0,41,1,8,80.3,205,2
"Sun
12/20",SF,@,OAK,W,7,21,33.3,171,8.1,3,14.3,0,0,,,,103.4,169,3
"Sun
12/13",SF,@,NO,W,15,22,68.2,227,10.3,3,13.6,0,0,,,,141.5,228,4
"Sun
12/6",SF,vs,ATL,W,20,30,66.7,268,8.9,1,3.3,1,3.3,,,,92.1,276,1
"Sun
11/29",SF,vs,LA,L,18,36,50,160,4.4,1,2.8,2,5.6,,,,48.4,164,1
"Sun
11/22",SF,@,DET,L,18,25,72,138,5.5,0,0,3,12,,,,45.5,138,0
"Sun
11/15",SF,@,HOU,W,15,26,57.7,205,7.9,3,11.5,1,3.8,,,,105.4,205,3
"Sun
11/8",SF,@,CHI,W,21,28,75,317,11.3,3,10.7,0,0,,,,147.5,317,3
"Sun
11/1",SF,vs,GB,W,10,20,50,127,6.4,1,5,0,0,,,,86.9,127,1
