Team,OS,PC,PA,YPG,TO,PYD,RYD,GT,HG,GM,W
lar,58.82%,17,25,300,1,175,125,0,1,17,10
was,23.53%,22,28,408,2,224,184,R,0,17,4
bal,76.47%,18,32,429,0,308,121,R,1,17,13
ari,76.47%,16,25,406,2,262,144,R,0,17,13
sea,52.94%,19,27,527,0,354,173,R,1,17,9
phi,64.71%,19,27,456,2,310,146,R,0,17,11
sea,52.94%,21,30,377,2,206,169,R,0,17,9
tb,52.94%,21,25,420,4,305,115,R,1,17,9
jax,52.94%,19,26,437,1,293,144,R,0,17,9
cin,52.94%,22,31,460,1,347,113,R,1,17,9
min,41.18%,21,30,325,2,260,65,R,0,17,7
cle,64.71%,12,27,214,2,107,108,R,0,17,11
dal,70.59%,17,24,321,4,251,170,R,1,17,12
ari,47.06%,20,21,395,0,271,124,R,1,17,8
nyg,35.29%,25,37,441,1,300,141,R,1,17,6
lar,58.82%,17,25,365,2,206,159,R,0,17,10
pit,58.82%,19,29,391,2,203,188,R,0,17,10
gre,52.94%,23,39,356,0,245,111,P,0,17,9
det,70.59%,20,31,413,1,258,155,P,0,17,12
kan,64.71%,23,38,382,2,272,110,P,0,17,11
