,,,,,,,,,,,,,,,,,,,
"Sun
12/15",SF,vs,GB,"W
27-20",5,12,41.7,75,6.3,0,0,2,16.7,,,,23.3,,
"Sun
12/8",SF,vs,BAL,"W
17-13",1,2,50,14,7,1,50,0,0,,,,112.5,,
"Sun
12/1",SF,@,NYG,"W
27-17",0,0,,0,,0,,0,,,,,,,
"Sun
11/17",SF,@,DET,"L
10-31",5,6,83.3,71,11.8,1,16.7,1,16.7,,,,116,,
"Sun
11/10",SF,@,LA,"L
24-37",0,1,0,0,0,0,0,0,0,,,,39.6,,
"Sun
12/14",SF,vs,BAL,"W
21-12",0,2,0,0,0,0,0,0,0,,,,39.6,,
"Sun
12/7",SF,vs,GB,"W
48-21",16,23,69.6,162,7,1,4.3,1,4.3,,,,85.8,,
"Sun
11/30",SF,@,BAL,"L
27-35",0,0,,0,,0,,0,,,,,,,
"Sun
11/23",SF,@,GB,"W
33-12",0,0,,0,,0,,0,,,,,,,
"Sun
11/16",SF,@,DET,"L
21-35",4,5,80,31,6.2,1,20,0,0,,,,132.1,,
"Sun
11/9",SF,@,LA,"L
7-56",6,16,37.5,61,3.8,0,0,2,12.5,,,,9.6,,
